,dbn,name,num_test_takers,reading_avg,math_avg,writing_score,boro,total_students,graduation_rate,attendance_rate,college_career_rate
179,13K412,"BROOKLYN COMMUNITY HIGH SCHOOL OF COMMUNICATION, ARTS AND MEDIA",37.0,375.0,355.0,384.0,K,425,0.77,0.82,0.53
180,13K419,"SCIENCE SKILLS CENTER HIGH SCHOOL FOR SCIENCE, TECHNOLOGY AND THE CREATIVE ARTS",92.0,399.0,417.0,395.0,K,562,0.84,0.93,0.68
181,13K430,BROOKLYN TECHNICAL HIGH SCHOOL,1277.0,587.0,659.0,587.0,K,5838,0.98,0.96,0.95
182,13K439,BROOKLYN INTERNATIONAL HIGH SCHOOL,90.0,305.0,364.0,312.0,K,354,0.8,0.92,0.63
183,13K483,THE URBAN ASSEMBLY SCHOOL FOR LAW AND JUSTICE,105.0,400.0,417.0,389.0,K,449,0.91,0.91,0.76
184,13K499,ACORN COMMUNITY HIGH SCHOOL,72.0,384.0,364.0,368.0,K,193,0.74,0.8,0.54
185,13K527,URBAN ASSEMBLY INSTITUTE OF MATH AND SCIENCE FOR YOUNG WOMEN,,nan,nan,nan,K,480,0.78,0.87,0.62
186,13K595,BEDFORD ACADEMY HIGH SCHOOL,89.0,438.0,443.0,431.0,K,364,0.98,0.93,0.88
187,13K605,GEORGE WESTINGHOUSE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,85.0,406.0,391.0,392.0,K,756,0.74,0.88,0.39
188,13K670,BENJAMIN BANNEKER ACADEMY,185.0,471.0,472.0,448.0,K,844,0.92,0.88,0.8
189,13K674,"CITY POLYTECHNIC HIGH SCHOOL OF ENGINEERING, ARCHITECTURE, AND TECHNOLOGY",20.0,441.0,499.0,413.0,K,439,0.87,0.89,0.77
190,14K071,JUAN MOREL CAMPOS SECONDARY SCHOOL,102.0,365.0,361.0,359.0,K,534,0.66,0.87,0.23
191,14K449,"BROOKLYN LATIN SCHOOL, THE",72.0,586.0,584.0,570.0,K,678,0.99,0.93,0.85
192,14K454,GREEN SCHOOL: AN ACADEMY FOR ENVIRONMENTAL CAREERS,41.0,407.0,386.0,396.0,K,269,0.68,0.85,0.32
193,14K474,PROGRESS HIGH SCHOOL FOR PROFESSIONAL CAREERS,144.0,364.0,379.0,371.0,K,766,0.78,0.84,0.42
194,14K477,SCHOOL FOR LEGAL STUDIES,134.0,413.0,396.0,395.0,K,335,0.64,0.77,0.3
195,14K478,"THE HIGH SCHOOL FOR ENTERPRISE, BUSINESS AND TECHNOLOGY",142.0,398.0,421.0,396.0,K,872,0.78,0.85,0.61
196,14K488,BROOKLYN PREPARATORY HIGH SCHOOL,42.0,367.0,373.0,350.0,K,512,0.92,0.86,0.69
197,14K558,WILLIAMSBURG HIGH SCHOOL FOR ARCHITECTURE AND DESIGN,72.0,363.0,385.0,364.0,K,566,0.95,0.91,0.56
198,14K561,WILLIAMSBURG PREPARATORY SCHOOL,113.0,397.0,410.0,380.0,K,676,0.95,0.9,0.74
199,14K586,LYONS COMMUNITY SCHOOL,31.0,371.0,377.0,355.0,K,496,0.65,0.81,0.4
200,14K610,AUTOMOTIVE HIGH SCHOOL,94.0,367.0,376.0,350.0,K,399,0.72,0.81,0.18
201,14K685,EL PUENTE ACADEMY FOR PEACE AND JUSTICE,28.0,359.0,335.0,341.0,K,236,0.56,0.82,0.47
202,15K429,BROOKLYN SCHOOL FOR GLOBAL STUDIES,52.0,361.0,367.0,383.0,K,206,0.69,0.89,0.71
203,15K448,BROOKLYN SECONDARY SCHOOL FOR COLLABORATIVE STUDIES,76.0,393.0,399.0,387.0,K,681,0.9,0.84,0.74
204,15K462,SECONDARY SCHOOL FOR LAW,59.0,398.0,411.0,394.0,K,439,0.86,0.85,0.55
205,15K463,SECONDARY SCHOOL FOR JOURNALISM,58.0,397.0,391.0,381.0,K,215,0.65,0.84,0.61
206,15K464,PARK SLOPE COLLEGIATE,72.0,379.0,416.0,380.0,K,654,0.64,0.87,0.66
207,15K497,SCHOOL FOR INTERNATIONAL STUDIES,64.0,405.0,415.0,392.0,K,632,0.78,0.8,0.56
208,15K519,COBBLE HILL SCHOOL OF AMERICAN STUDIES,77.0,398.0,402.0,385.0,K,584,0.79,0.8,0.55
209,15K656,BROOKLYN HIGH SCHOOL OF THE ARTS,141.0,426.0,421.0,411.0,K,867,0.85,0.92,0.64
210,15K667,SUNSET PARK HIGH SCHOOL,,nan,nan,nan,K,1230,0.77,0.87,0.51
211,16K455,BOYS AND GIRLS HIGH SCHOOL,131.0,365.0,370.0,362.0,K,428,0.63,0.85,0.25
212,16K498,BROOKLYN HIGH SCHOOL FOR LAW AND TECHNOLOGY,46.0,362.0,372.0,358.0,K,594,0.74,0.85,0.49
213,16K688,THE BROOKLYN ACADEMY OF GLOBAL FINANCE,,nan,nan,nan,K,135,0.66,0.78,0.26
214,17K382,ACADEMY FOR COLLEGE PREPARATION AND CAREER EXPLORATION: A COLLEGE BOARD SCHOOL,59.0,396.0,374.0,369.0,K,422,0.64,0.84,0.49
215,17K408,ACADEMY OF HOSPITALITY AND TOURISM,57.0,352.0,342.0,351.0,K,208,0.53,0.82,0.3
216,17K524,INTERNATIONAL HIGH SCHOOL AT PROSPECT HEIGHTS,71.0,287.0,335.0,291.0,K,417,0.63,0.88,0.53
217,17K528,THE HIGH SCHOOL FOR GLOBAL CITIZENSHIP,46.0,403.0,385.0,388.0,K,197,0.61,0.9,0.33
218,17K531,"SCHOOL FOR HUMAN RIGHTS, THE",35.0,348.0,381.0,359.0,K,441,0.74,0.92,0.49
219,17K537,HIGH SCHOOL FOR YOUTH AND COMMUNITY DEVELOPMENT AT ERASMUS,73.0,338.0,349.0,340.0,K,480,0.79,0.88,0.39
220,17K539,HIGH SCHOOL FOR SERVICE & LEARNING AT ERASMUS,61.0,362.0,375.0,368.0,K,354,0.82,0.84,0.49
221,17K543,"SCIENCE, TECHNOLOGY AND RESEARCH EARLY COLLEGE HIGH SCHOOL AT ERASMUS",69.0,457.0,462.0,441.0,K,541,0.98,0.96,0.83
222,17K546,HIGH SCHOOL FOR PUBLIC SERVICE: HEROES OF TOMORROW,79.0,418.0,441.0,414.0,K,454,0.95,0.93,0.84
223,17K547,BROOKLYN ACADEMY OF SCIENCE AND THE ENVIRONMENT,63.0,388.0,382.0,373.0,K,373,0.74,0.9,0.57
224,17K548,BROOKLYN SCHOOL FOR MUSIC & THEATRE,48.0,385.0,393.0,373.0,K,296,0.74,0.83,0.55
225,17K590,MEDGAR EVERS COLLEGE PREPARATORY SCHOOL,165.0,476.0,481.0,479.0,K,1257,0.98,0.89,0.8
226,17K600,CLARA BARTON HIGH SCHOOL,259.0,425.0,413.0,413.0,K,1221,0.75,0.89,0.52
227,17K751,ACADEMY FOR HEALTH CAREERS,,nan,nan,nan,K,359,0.83,0.83,0.56
228,18K563,IT TAKES A VILLAGE ACADEMY,56.0,313.0,320.0,330.0,K,730,0.89,0.91,0.76
229,18K566,BROOKLYN GENERATION SCHOOL,29.0,374.0,377.0,394.0,K,195,0.75,0.91,0.51
230,18K567,BROOKLYN THEATRE ARTS HIGH SCHOOL,54.0,383.0,358.0,377.0,K,362,0.83,0.82,0.46
231,18K569,KURT HAHN EXPEDITIONARY LEARNING SCHOOL,43.0,368.0,378.0,346.0,K,353,0.86,0.89,0.43
232,18K576,VICTORY COLLEGIATE HIGH SCHOOL,63.0,387.0,377.0,379.0,K,401,0.76,0.88,0.53
233,18K617,HIGH SCHOOL FOR INNOVATION IN ADVERTISING AND MEDIA,37.0,404.0,393.0,386.0,K,255,0.7,0.86,0.53
234,18K629,CULTURAL ACADEMY FOR THE ARTS AND SCIENCES,33.0,393.0,395.0,381.0,K,319,0.68,0.87,0.38
235,18K633,HIGH SCHOOL FOR MEDICAL PROFESSIONS,75.0,386.0,380.0,393.0,K,424,0.93,0.91,0.69
236,18K637,ACADEMY FOR CONSERVATION AND THE ENVIRONMENT,35.0,363.0,381.0,367.0,K,285,0.81,0.82,0.48
237,18K642,URBAN ACTION ACADEMY,40.0,376.0,385.0,374.0,K,278,0.58,0.81,0.33
238,19K409,EAST NEW YORK FAMILY ACADEMY,54.0,416.0,432.0,394.0,K,496,0.95,0.88,0.68
239,19K502,FDNY HIGH SCHOOL FOR FIRE AND LIFE SAFETY,37.0,341.0,349.0,333.0,K,333,0.71,0.8,0.32
240,19K504,HIGH SCHOOL FOR CIVIL RIGHTS,47.0,363.0,349.0,342.0,K,264,0.64,0.74,0.34
241,19K507,PERFORMING ARTS AND TECHNOLOGY HIGH SCHOOL,61.0,380.0,386.0,383.0,K,450,0.54,0.86,0.41
242,19K510,WORLD ACADEMY FOR TOTAL COMMUNITY HEALTH HIGH SCHOOL,68.0,371.0,365.0,370.0,K,262,0.67,0.81,0.52
243,19K583,MULTICULTURAL HIGH SCHOOL,29.0,279.0,322.0,286.0,K,243,0.62,0.9,0.49
244,19K615,TRANSIT TECH CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,182.0,395.0,418.0,380.0,K,713,0.73,0.84,0.45
245,19K618,ACADEMY OF INNOVATIVE TECHNOLOGY,60.0,371.0,371.0,354.0,K,403,0.74,0.88,0.48
246,19K639,BROOKLYN LAB SCHOOL,57.0,360.0,385.0,363.0,K,384,0.63,0.79,0.42
247,19K659,CYPRESS HILLS COLLEGIATE PREPARATORY SCHOOL,51.0,376.0,385.0,368.0,K,251,0.69,0.89,0.51
248,19K660,W. H. MAXWELL CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,74.0,370.0,369.0,363.0,K,407,0.68,0.76,0.33
249,19K683,"THE SCHOOL FOR CLASSICS: AN ACADEMY OF THINKERS, WRITERS AND PERFORMERS",38.0,383.0,400.0,374.0,K,287,0.73,0.84,0.28
250,20K445,NEW UTRECHT HIGH SCHOOL,456.0,402.0,471.0,399.0,K,3563,0.8,0.87,0.59
251,20K485,HIGH SCHOOL OF TELECOMMUNICATION ARTS AND TECHNOLOGY,238.0,425.0,474.0,424.0,K,1278,0.88,0.93,0.71
252,20K490,FORT HAMILTON HIGH SCHOOL,694.0,417.0,478.0,411.0,K,4582,0.75,0.9,0.7
253,20K505,FRANKLIN DELANO ROOSEVELT HIGH SCHOOL,385.0,383.0,486.0,375.0,K,3061,0.68,0.89,0.51
254,20K609,THE URBAN ASSEMBLY SCHOOL FOR CRIMINAL JUSTICE,,nan,nan,nan,K,556,0.93,0.9,0.81
255,21K337,INTERNATIONAL HIGH SCHOOL AT LAFAYETTE,54.0,326.0,386.0,314.0,K,337,0.67,0.89,0.51
256,21K344,RACHEL CARSON HIGH SCHOOL FOR COASTAL STUDIES,54.0,402.0,427.0,408.0,K,639,0.67,0.86,0.54
257,21K348,HIGH SCHOOL OF SPORTS MANAGEMENT,39.0,388.0,398.0,378.0,K,242,0.67,0.81,0.48
258,21K410,ABRAHAM LINCOLN HIGH SCHOOL,475.0,396.0,437.0,393.0,K,1998,0.71,0.86,0.45
259,21K468,KINGSBOROUGH EARLY COLLEGE SCHOOL,,nan,nan,nan,K,657,0.98,0.91,0.89
260,21K525,EDWARD R. MURROW HIGH SCHOOL,727.0,468.0,496.0,467.0,K,3789,0.8,0.91,0.64
261,21K540,JOHN DEWEY HIGH SCHOOL,448.0,404.0,468.0,390.0,K,2309,0.8,0.88,0.57
262,21K559,LIFE ACADEMY HIGH SCHOOL FOR FILM AND MUSIC,40.0,384.0,375.0,365.0,K,303,0.89,0.88,0.6
263,21K572,EXPEDITIONARY LEARNING SCHOOL FOR COMMUNITY LEADERS,40.0,353.0,370.0,356.0,K,347,0.84,0.87,0.7
264,21K620,WILLIAM E. GRADY CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,95.0,394.0,414.0,376.0,K,458,0.71,0.82,0.22
265,21K690,BROOKLYN STUDIO SECONDARY SCHOOL,119.0,429.0,449.0,435.0,K,942,0.85,0.87,0.65
266,21K728,LIBERATION DIPLOMA PLUS,10.0,411.0,369.0,373.0,K,225,,0.53,
267,22K405,MIDWOOD HIGH SCHOOL,824.0,478.0,519.0,476.0,K,4058,0.9,0.92,0.81
268,22K425,JAMES MADISON HIGH SCHOOL,518.0,436.0,475.0,439.0,K,3657,0.83,0.94,0.64
269,22K535,LEON M. GOLDSTEIN HIGH SCHOOL FOR THE SCIENCES,259.0,524.0,561.0,542.0,K,1011,0.94,0.96,0.75
270,22K555,BROOKLYN COLLEGE ACADEMY,131.0,456.0,456.0,440.0,K,622,0.98,0.95,0.95
271,23K493,BROOKLYN COLLEGIATE: A COLLEGE BOARD SCHOOL,60.0,389.0,409.0,387.0,K,271,0.63,0.85,0.5
272,23K514,FREDERICK DOUGLASS ACADEMY VII HIGH SCHOOL,55.0,361.0,371.0,359.0,K,157,0.66,0.82,0.37
273,23K647,METROPOLITAN DIPLOMA PLUS HIGH SCHOOL,17.0,350.0,346.0,332.0,K,217,,0.66,
274,23K697,TEACHERS PREPARATORY HIGH SCHOOL,69.0,392.0,416.0,388.0,K,250,0.69,0.8,0.49
275,24Q264,ACADEMY OF FINANCE AND ENTERPRISE,89.0,405.0,454.0,421.0,Q,598,0.94,0.93,0.77
276,24Q267,HIGH SCHOOL OF APPLIED COMMUNICATION,39.0,406.0,413.0,400.0,Q,417,0.82,0.89,0.65
277,24Q293,CIVIC LEADERSHIP ACADEMY,69.0,404.0,429.0,407.0,Q,529,0.96,0.9,0.76
278,24Q296,PAN AMERICAN INTERNATIONAL HIGH SCHOOL,55.0,317.0,323.0,311.0,Q,449,0.9,0.92,0.35
279,24Q299,BARD HIGH SCHOOL EARLY COLLEGE II,155.0,545.0,568.0,550.0,Q,623,0.99,0.97,0.94
280,24Q455,NEWTOWN HIGH SCHOOL,320.0,383.0,440.0,380.0,Q,1921,0.71,0.9,0.49
281,24Q485,GROVER CLEVELAND HIGH SCHOOL,241.0,395.0,420.0,396.0,Q,1775,0.63,0.83,0.43
282,24Q520,MIDDLE COLLEGE HIGH SCHOOL AT LAGUARDIA COMMUNITY COLLEGE,58.0,399.0,393.0,385.0,Q,510,0.73,0.92,0.77
283,24Q530,INTERNATIONAL HIGH SCHOOL AT LAGUARDIA COMMUNITY COLLEGE,69.0,326.0,409.0,329.0,Q,527,0.83,0.92,0.8
284,24Q550,HIGH SCHOOL FOR ARTS AND BUSINESS,138.0,391.0,403.0,380.0,Q,812,0.9,0.92,0.68
285,24Q560,"ROBERT F. WAGNER, JR. SECONDARY SCHOOL FOR ARTS AND TECHNOLOGY",80.0,443.0,447.0,440.0,Q,665,0.93,0.92,0.82
286,24Q600,QUEENS VOCATIONAL AND TECHNICAL HIGH SCHOOL,155.0,417.0,447.0,406.0,Q,1546,0.84,0.9,0.62
287,24Q610,AVIATION CAREER & TECHNICAL EDUCATION HIGH SCHOOL,396.0,445.0,496.0,423.0,Q,2084,0.97,0.97,0.68
288,25Q252,"QUEENS SCHOOL OF INQUIRY, THE",58.0,455.0,498.0,443.0,Q,576,0.95,0.93,0.97
289,25Q263,FLUSHING INTERNATIONAL HIGH SCHOOL,45.0,314.0,417.0,318.0,Q,442,0.65,0.91,0.65
290,25Q281,EASTsWEST SCHOOL OF INTERNATIONAL STUDIES,59.0,416.0,463.0,392.0,Q,649,0.93,0.91,0.87
291,25Q285,WORLD JOURNALISM PREPARATORY: A COLLEGE BOARD SCHOOL,63.0,471.0,489.0,481.0,Q,567,0.97,0.93,0.85
292,25Q425,JOHN BOWNE HIGH SCHOOL,558.0,397.0,451.0,395.0,Q,3601,0.73,0.86,0.55
293,25Q460,FLUSHING HIGH SCHOOL,347.0,393.0,441.0,382.0,Q,1692,0.6,0.85,0.42
294,25Q525,TOWNSEND HARRIS HIGH SCHOOL,278.0,621.0,651.0,638.0,Q,1141,0.99,0.97,1.0
295,25Q670,ROBERT F. KENNEDY COMMUNITY HIGH SCHOOL,99.0,431.0,458.0,441.0,Q,756,0.81,0.9,0.67
296,26Q415,BENJAMIN N. CARDOZO HIGH SCHOOL,888.0,480.0,545.0,489.0,Q,3699,0.91,0.92,0.77
297,26Q430,FRANCIS LEWIS HIGH SCHOOL,934.0,468.0,539.0,467.0,Q,4557,0.89,0.92,0.75
298,26Q435,MARTIN VAN BUREN HIGH SCHOOL,334.0,391.0,397.0,384.0,Q,1174,0.67,0.87,0.43
299,26Q495,BAYSIDE HIGH SCHOOL,708.0,462.0,523.0,464.0,Q,3024,0.97,0.93,0.84
300,26Q566,"QUEENS HIGH SCHOOL OF TEACHING, LIBERAL ARTS AND THE SCIENCES",175.0,425.0,434.0,420.0,Q,1073,0.91,0.91,0.79
301,27Q260,FREDERICK DOUGLASS ACADEMY VI HIGH SCHOOL,87.0,387.0,385.0,373.0,Q,349,0.47,0.83,0.34
302,27Q262,CHANNEL VIEW SCHOOL FOR RESEARCH,74.0,432.0,419.0,401.0,Q,888,0.93,0.89,0.73
303,27Q302,"QUEENS HIGH SCHOOL FOR INFORMATION, RESEARCH, AND TECHNOLOGY",44.0,391.0,401.0,364.0,Q,443,0.81,0.84,0.31
304,27Q308,ROBERT H. GODDARD HIGH SCHOOL OF COMMUNICATION ARTS AND TECHNOLOGY,93.0,423.0,426.0,416.0,Q,621,0.93,0.92,0.65
305,27Q309,ACADEMY OF MEDICAL TECHNOLOGY: A COLLEGE BOARD SCHOOL,36.0,367.0,379.0,348.0,Q,639,0.73,0.86,0.32
306,27Q323,SCHOLARS' ACADEMY,89.0,499.0,537.0,496.0,Q,1376,1.0,0.95,0.98
307,27Q400,AUGUST MARTIN HIGH SCHOOL,101.0,377.0,371.0,360.0,Q,334,0.63,0.82,0.24
308,27Q475,RICHMOND HILL HIGH SCHOOL,404.0,382.0,404.0,368.0,Q,1681,0.69,0.87,0.42
309,27Q480,JOHN ADAMS HIGH SCHOOL,403.0,391.0,409.0,392.0,Q,2281,0.71,0.86,0.45
310,27Q650,"HIGH SCHOOL FOR CONSTRUCTION TRADES, ENGINEERING AND ARCHITECTURE",194.0,429.0,491.0,425.0,Q,1027,0.98,0.94,0.82
311,28Q284,YORK EARLY COLLEGE ACADEMY,,nan,nan,nan,Q,646,0.99,0.95,0.94
312,28Q310,QUEENS COLLEGIATE: A COLLEGE BOARD SCHOOL,68.0,420.0,445.0,400.0,Q,671,0.88,0.89,0.63
313,28Q325,HILLSIDE ARTS & LETTERS ACADEMY,,nan,nan,nan,Q,467,0.84,0.85,0.53
314,28Q350,JAMAICA GATEWAY TO THE SCIENCES,25.0,430.0,452.0,425.0,Q,511,0.83,0.88,0.73
315,28Q440,FOREST HILLS HIGH SCHOOL,762.0,456.0,497.0,454.0,Q,3783,0.88,0.9,0.73
316,28Q505,HILLCREST HIGH SCHOOL,462.0,395.0,413.0,386.0,Q,3367,0.73,0.87,0.59
317,28Q620,THOMAS A. EDISON CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,422.0,452.0,478.0,442.0,Q,2133,0.89,0.93,0.73
318,28Q680,QUEENS GATEWAY TO HEALTH SCIENCES SECONDARY SCHOOL,99.0,513.0,523.0,502.0,Q,690,0.96,0.95,0.92
319,28Q686,QUEENS METROPOLITAN HIGH SCHOOL,,nan,nan,nan,Q,1091,0.86,0.92,0.71
320,28Q687,QUEENS HIGH SCHOOL FOR THE SCIENCES AT YORK COLLEGE,121.0,612.0,660.0,596.0,Q,473,1.0,0.97,0.91
321,28Q690,HIGH SCHOOL FOR LAW ENFORCEMENT AND PUBLIC SAFETY,74.0,406.0,406.0,384.0,Q,498,0.8,0.89,0.63
322,28Q896,"YOUNG WOMEN'S LEADERSHIP SCHOOL, QUEENS",68.0,439.0,445.0,432.0,Q,563,0.96,0.94,0.84
323,29Q248,QUEENS PREPARATORY ACADEMY,52.0,360.0,380.0,359.0,Q,415,0.7,0.83,0.52
324,29Q259,PATHWAYS COLLEGE PREPARATORY SCHOOL: A COLLEGE BOARD SCHOOL,46.0,401.0,397.0,375.0,Q,583,0.66,0.91,0.57
325,29Q265,EXCELSIOR PREPARATORY HIGH SCHOOL,49.0,402.0,398.0,402.0,Q,483,0.79,0.87,0.52
326,29Q272,GEORGE WASHINGTON CARVER HIGH SCHOOL FOR THE SCIENCES,59.0,436.0,427.0,424.0,Q,468,0.78,0.88,0.66
327,29Q283,PREPARATORY ACADEMY FOR WRITERS: A COLLEGE BOARD SCHOOL,43.0,370.0,367.0,363.0,Q,588,0.9,0.85,0.59
328,29Q326,CAMBRIA HEIGHTS ACADEMY,,nan,nan,nan,Q,353,0.86,0.86,0.75
329,29Q492,"MATHEMATICS, SCIENCE RESEARCH AND TECHNOLOGY MAGNET HIGH SCHOOL",78.0,400.0,426.0,394.0,Q,415,0.71,0.8,0.41
330,29Q498,HUMANITIES & ARTS MAGNET HIGH SCHOOL,62.0,393.0,381.0,377.0,Q,454,0.68,0.86,0.45
331,30Q286,"YOUNG WOMEN'S LEADERSHIP SCHOOL, ASTORIA",,nan,nan,nan,Q,565,0.96,0.94,0.92
332,30Q301,ACADEMY FOR CAREERS IN TELEVISION AND FILM,98.0,410.0,440.0,405.0,Q,565,0.98,0.93,0.81
333,30Q445,WILLIAM CULLEN BRYANT HIGH SCHOOL,395.0,414.0,449.0,412.0,Q,2394,0.72,0.89,0.52
334,30Q450,LONG ISLAND CITY HIGH SCHOOL,392.0,403.0,420.0,395.0,Q,2256,0.66,0.86,0.45
335,30Q501,FRANK SINATRA SCHOOL OF THE ARTS HIGH SCHOOL,174.0,504.0,496.0,494.0,Q,831,0.93,0.93,0.95
336,30Q502,INFORMATION TECHNOLOGY HIGH SCHOOL,148.0,407.0,434.0,398.0,Q,1007,0.84,0.9,0.59
337,30Q555,NEWCOMERS HIGH SCHOOL,143.0,323.0,475.0,329.0,Q,911,0.77,0.89,0.55
338,30Q575,ACADEMY OF AMERICAN STUDIES,135.0,487.0,492.0,491.0,Q,1038,0.93,0.94,0.72
339,30Q580,BACCALAUREATE SCHOOL FOR GLOBAL EDUCATION,61.0,524.0,568.0,544.0,Q,540,0.99,0.95,0.95
340,31R047,CSI HIGH SCHOOL FOR INTERNATIONAL STUDIES,137.0,452.0,451.0,450.0,R,495,0.99,0.95,0.92
341,31R064,GAYNOR MCCOWN EXPEDITIONARY LEARNING SCHOOL,61.0,398.0,412.0,385.0,R,439,0.91,0.91,0.79
342,31R080,THE MICHAEL J. PETRIDES SCHOOL,107.0,472.0,488.0,466.0,R,1313,0.93,0.92,0.59
343,31R440,NEW DORP HIGH SCHOOL,391.0,424.0,437.0,416.0,R,3045,0.8,0.87,0.56
344,31R445,PORT RICHMOND HIGH SCHOOL,271.0,424.0,438.0,417.0,R,1549,0.67,0.86,0.36
345,31R450,CURTIS HIGH SCHOOL,375.0,437.0,435.0,429.0,R,2587,0.73,0.85,0.48
346,31R455,TOTTENVILLE HIGH SCHOOL,807.0,462.0,486.0,470.0,R,3808,0.89,0.91,0.62
347,31R460,SUSAN E. WAGNER HIGH SCHOOL,535.0,455.0,474.0,459.0,R,3284,0.86,0.9,0.73
348,31R600,RALPH R. MCKEE CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,94.0,416.0,422.0,397.0,R,792,0.77,0.87,0.3
349,31R605,STATEN ISLAND TECHNICAL HIGH SCHOOL,227.0,635.0,682.0,636.0,R,1320,1.0,0.97,0.88
350,32K403,ACADEMY FOR ENVIRONMENTAL LEADERSHIP,50.0,380.0,366.0,352.0,K,272,0.7,0.8,0.44
351,32K545,EBC HIGH SCHOOL FOR PUBLIC SERVICEâ€“BUSHWICK,88.0,384.0,409.0,361.0,K,498,0.71,0.87,0.4
352,32K549,BUSHWICK SCHOOL FOR SOCIAL JUSTICE,75.0,348.0,353.0,334.0,K,364,0.69,0.78,0.48
353,32K552,ACADEMY OF URBAN PLANNING,67.0,342.0,364.0,354.0,K,197,0.79,0.89,0.34
354,32K554,ALL CITY LEADERSHIP SECONDARY SCHOOL,39.0,428.0,465.0,422.0,K,435,0.97,0.93,0.73
355,32K556,BUSHWICK LEADERS HIGH SCHOOL FOR ACADEMIC EXCELLENCE,23.0,347.0,358.0,350.0,K,281,0.73,0.81,0.42
